District_Name,UnitName,FIRNo,Year,Month,CrimeGroup_Name,Latitude,Longitude,VICTIM COUNT,Accused Count,Day
MORANG,Morang Police Unit,6868/2017,2016,11,Smuggling,29.599874,83.563756,5,5,17
RUPANDEHI,Rupandehi Police Unit,5750/2021,2019,8,Fraud,29.711369,82.151835,1,5,25
MORANG,Morang Police Unit,645/2016,2022,4,Human Trafficking,27.812737,83.105139,5,2,28
MORANG,Morang Police Unit,758/2018,2021,8,Theft,29.589365,86.367765,2,4,9
KATHMANDU,Kathmandu Police Unit,94/2021,2024,12,Human Trafficking,26.787711,83.674653,1,0,9
SUNSARI,Sunsari Police Unit,257/2016,2015,11,Drug Trafficking,29.174766,83.599175,3,2,17
DHANUSHA,Dhanusha Police Unit,9496/2022,2015,5,Cyber Crime,26.543352,87.37632,1,5,15
KASKI,Kaski Police Unit,5424/2020,2015,12,Homicide,27.4487,85.460827,1,0,6
KASKI,Kaski Police Unit,8894/2019,2019,12,Kidnapping,28.387525,85.907728,4,5,8
CHITWAN,Chitwan Police Unit,1510/2020,2019,7,Human Trafficking,29.743201,84.732855,2,2,23
MORANG,Morang Police Unit,5612/2020,2022,2,Cyber Crime,27.660238,81.972607,3,1,28
CHITWAN,Chitwan Police Unit,192/2019,2021,10,Domestic Violence,29.650698,84.936219,1,2,7
BANKE,Banke Police Unit,7805/2024,2015,10,Assault,28.640889,82.791541,4,4,27
BHAKTAPUR,Bhaktapur Police Unit,9036/2018,2023,9,Kidnapping,28.850516,87.792591,1,5,23
RUPANDEHI,Rupandehi Police Unit,6267/2024,2024,3,Theft,30.065977,83.396419,0,0,21
MORANG,Morang Police Unit,9824/2022,2017,12,Homicide,29.60504,84.113194,3,5,12
CHITWAN,Chitwan Police Unit,7657/2016,2023,3,Fraud,26.757199,81.858444,4,1,13
BHAKTAPUR,Bhaktapur Police Unit,9776/2019,2024,11,Fraud,27.54825,84.755689,2,5,8
RUPANDEHI,Rupandehi Police Unit,6656/2021,2023,1,Fraud,29.971455,81.263589,5,3,12
CHITWAN,Chitwan Police Unit,2895/2021,2023,5,Cyber Crime,30.353019,87.819266,0,3,28
CHITWAN,Chitwan Police Unit,1106/2022,2016,5,Drug Trafficking,29.065935,82.425224,0,1,3
MORANG,Morang Police Unit,4363/2024,2020,8,Kidnapping,28.600088,80.309515,4,3,1
KASKI,Kaski Police Unit,1064/2018,2023,11,Theft,30.178999,81.836529,5,0,22
KASKI,Kaski Police Unit,2104/2020,2019,1,Fraud,30.036937,86.410258,5,0,25
SUNSARI,Sunsari Police Unit,1694/2016,2023,4,Human Trafficking,26.785452,83.564178,0,2,12
RUPANDEHI,Rupandehi Police Unit,2931/2016,2016,7,Smuggling,29.009689,82.310658,2,5,3
KATHMANDU,Kathmandu Police Unit,3201/2023,2024,8,Domestic Violence,30.072383,80.515775,0,0,4
CHITWAN,Chitwan Police Unit,2900/2015,2016,3,Human Trafficking,27.917145,86.826173,5,1,17
LALITPUR,Lalitpur Police Unit,2692/2018,2021,6,Fraud,30.111599,80.10874,2,4,27
SUNSARI,Sunsari Police Unit,1522/2022,2015,3,Drug Trafficking,29.272753,85.735379,3,2,23
RUPANDEHI,Rupandehi Police Unit,377/2016,2015,6,Homicide,27.869815,80.98471,0,1,27
MORANG,Morang Police Unit,5358/2017,2023,3,Drug Trafficking,26.672987,83.53104,5,1,16
RUPANDEHI,Rupandehi Police Unit,4100/2023,2019,3,Theft,29.653999,85.389707,5,4,17
BANKE,Banke Police Unit,1880/2017,2024,11,Theft,28.002071,83.354476,3,5,11
RUPANDEHI,Rupandehi Police Unit,8908/2017,2019,7,Drug Trafficking,28.880276,83.861181,2,2,26
CHITWAN,Chitwan Police Unit,1631/2018,2018,8,Assault,30.150196,81.929363,2,0,26
KASKI,Kaski Police Unit,2688/2019,2024,6,Homicide,28.843054,82.338647,3,5,16
LALITPUR,Lalitpur Police Unit,3814/2024,2023,7,Kidnapping,28.74313,87.029716,0,1,20
BANKE,Banke Police Unit,2382/2020,2018,9,Domestic Violence,30.107295,84.049831,5,0,14
CHITWAN,Chitwan Police Unit,2510/2021,2016,5,Assault,27.37281,86.929947,4,2,26
DHANUSHA,Dhanusha Police Unit,1526/2023,2017,5,Human Trafficking,29.540267,83.459006,3,3,4
RUPANDEHI,Rupandehi Police Unit,7846/2021,2019,12,Kidnapping,26.650571,87.843767,3,2,15
MORANG,Morang Police Unit,6156/2017,2020,9,Assault,26.525723,86.623006,3,4,21
KASKI,Kaski Police Unit,2883/2018,2022,9,Fraud,27.502466,85.76529,4,2,4
RUPANDEHI,Rupandehi Police Unit,6032/2018,2021,11,Homicide,26.640826,87.223132,2,0,26
MORANG,Morang Police Unit,8655/2017,2018,12,Homicide,27.541792,80.802843,5,2,14
LALITPUR,Lalitpur Police Unit,6617/2018,2015,8,Fraud,29.153312,84.260955,2,3,22
BANKE,Banke Police Unit,3510/2015,2023,2,Assault,29.55781,81.227925,1,5,6
BHAKTAPUR,Bhaktapur Police Unit,8935/2016,2020,6,Theft,28.528582,83.822527,5,5,20
BANKE,Banke Police Unit,3246/2018,2021,9,Domestic Violence,27.689485,84.038268,4,3,16
CHITWAN,Chitwan Police Unit,3000/2019,2019,6,Human Trafficking,28.998343,81.825901,4,1,8
KASKI,Kaski Police Unit,9876/2021,2017,1,Assault,29.512878,82.29969,3,5,21
BHAKTAPUR,Bhaktapur Police Unit,7208/2024,2017,12,Domestic Violence,28.031783,87.255136,1,4,19
DHANUSHA,Dhanusha Police Unit,8648/2020,2020,2,Human Trafficking,28.001913,81.572089,0,2,28
BANKE,Banke Police Unit,3926/2017,2017,5,Kidnapping,30.124611,80.46186,0,0,14
DHANUSHA,Dhanusha Police Unit,5579/2017,2023,7,Drug Trafficking,26.794598,87.199732,5,3,1
LALITPUR,Lalitpur Police Unit,9027/2024,2023,2,Fraud,28.804951,82.796453,0,1,24
SUNSARI,Sunsari Police Unit,8646/2015,2015,8,Fraud,29.632617,82.183277,1,2,20
DHANUSHA,Dhanusha Police Unit,1433/2022,2023,11,Fraud,26.70274,80.363889,1,4,9
DHANUSHA,Dhanusha Police Unit,6672/2021,2022,5,Domestic Violence,28.636077,80.206604,1,5,5
BANKE,Banke Police Unit,8383/2019,2019,11,Fraud,29.668654,82.19791,5,3,26
KASKI,Kaski Police Unit,2256/2022,2024,3,Assault,29.150644,87.149789,3,0,12
LALITPUR,Lalitpur Police Unit,5016/2016,2016,11,Kidnapping,27.74858,83.708133,2,0,11
CHITWAN,Chitwan Police Unit,366/2020,2023,9,Kidnapping,29.464249,85.963915,2,0,8
DHANUSHA,Dhanusha Police Unit,6534/2020,2024,3,Human Trafficking,29.575066,84.917926,1,3,17
KASKI,Kaski Police Unit,1425/2018,2016,8,Drug Trafficking,30.085528,83.629325,5,4,6
DHANUSHA,Dhanusha Police Unit,6773/2023,2017,12,Human Trafficking,29.847657,83.250695,1,2,11
SUNSARI,Sunsari Police Unit,2353/2022,2020,7,Homicide,27.153569,82.664047,0,3,22
KASKI,Kaski Police Unit,7421/2016,2020,4,Drug Trafficking,27.026652,87.997597,5,2,23
KASKI,Kaski Police Unit,8327/2017,2023,8,Smuggling,29.970029,81.391064,0,2,6
LALITPUR,Lalitpur Police Unit,3096/2016,2023,5,Homicide,30.298922,85.782872,5,3,2
BANKE,Banke Police Unit,7609/2016,2023,2,Homicide,27.042926,82.064951,2,3,22
CHITWAN,Chitwan Police Unit,7198/2019,2024,7,Kidnapping,30.104857,84.154038,0,5,11
KASKI,Kaski Police Unit,8928/2015,2019,9,Human Trafficking,27.932345,86.250935,5,1,20
BANKE,Banke Police Unit,6260/2021,2022,9,Cyber Crime,28.872179,81.328662,4,5,25
SUNSARI,Sunsari Police Unit,623/2023,2017,5,Smuggling,26.897306,82.975618,0,5,25
RUPANDEHI,Rupandehi Police Unit,7060/2019,2019,8,Domestic Violence,27.184209,87.213185,1,4,25
LALITPUR,Lalitpur Police Unit,6074/2018,2023,1,Domestic Violence,28.822106,87.823837,1,0,13
KASKI,Kaski Police Unit,8574/2017,2022,9,Cyber Crime,30.30803,88.053608,2,5,8
DHANUSHA,Dhanusha Police Unit,8752/2018,2015,9,Domestic Violence,27.174646,88.012316,4,0,9
SUNSARI,Sunsari Police Unit,7404/2017,2023,8,Human Trafficking,27.726934,81.725052,3,3,11
LALITPUR,Lalitpur Police Unit,3997/2017,2018,7,Assault,30.418685,85.14701,2,2,20
DHANUSHA,Dhanusha Police Unit,891/2017,2024,9,Assault,26.449762,87.804125,1,1,16
KATHMANDU,Kathmandu Police Unit,5767/2022,2015,8,Human Trafficking,26.714369,84.140801,3,1,26
LALITPUR,Lalitpur Police Unit,9615/2017,2022,5,Assault,26.879127,83.765539,1,0,16
MORANG,Morang Police Unit,6167/2024,2022,10,Domestic Violence,29.407686,87.154181,4,0,23
LALITPUR,Lalitpur Police Unit,1916/2017,2024,5,Drug Trafficking,27.327027,86.538929,0,2,28
MORANG,Morang Police Unit,3018/2021,2022,6,Homicide,29.84377,84.840867,0,3,14
CHITWAN,Chitwan Police Unit,3603/2016,2019,12,Cyber Crime,27.64408,83.88322,0,4,22
MORANG,Morang Police Unit,2435/2020,2022,1,Fraud,28.994572,80.086062,1,1,27
MORANG,Morang Police Unit,8451/2022,2017,3,Domestic Violence,29.562415,84.376954,3,3,20
SUNSARI,Sunsari Police Unit,1357/2015,2021,8,Human Trafficking,28.1315,82.148987,4,1,27
LALITPUR,Lalitpur Police Unit,2213/2024,2018,5,Domestic Violence,27.46149,82.292219,3,1,22
LALITPUR,Lalitpur Police Unit,6755/2022,2016,8,Smuggling,30.241056,81.554226,3,3,1
RUPANDEHI,Rupandehi Police Unit,4083/2024,2015,6,Homicide,29.264377,82.554619,3,1,26
RUPANDEHI,Rupandehi Police Unit,3041/2016,2018,8,Fraud,26.887124,87.165494,5,1,14
BANKE,Banke Police Unit,9433/2020,2022,9,Human Trafficking,27.661637,84.482147,4,2,25
BANKE,Banke Police Unit,7614/2018,2019,3,Smuggling,28.590634,87.826458,4,2,27
KASKI,Kaski Police Unit,2579/2023,2022,9,Kidnapping,28.6792,80.893741,0,5,27
LALITPUR,Lalitpur Police Unit,6911/2019,2023,8,Homicide,27.071122,86.930349,0,4,21
BANKE,Banke Police Unit,5189/2017,2020,12,Drug Trafficking,27.868828,84.490659,4,2,15
SUNSARI,Sunsari Police Unit,417/2017,2023,1,Smuggling,29.249361,82.372856,4,3,1
DHANUSHA,Dhanusha Police Unit,828/2023,2020,2,Theft,27.225086,80.482408,0,1,18
RUPANDEHI,Rupandehi Police Unit,2694/2024,2020,4,Fraud,28.059992,86.597785,1,3,23
CHITWAN,Chitwan Police Unit,3701/2019,2017,10,Drug Trafficking,30.122584,81.523039,5,4,20
MORANG,Morang Police Unit,8809/2020,2021,5,Fraud,28.272226,80.149099,4,4,3
KASKI,Kaski Police Unit,1382/2019,2017,8,Homicide,28.823889,85.195395,4,4,5
KASKI,Kaski Police Unit,6729/2024,2024,1,Homicide,27.579547,84.835447,4,1,6
LALITPUR,Lalitpur Police Unit,4997/2019,2023,6,Homicide,30.415565,83.643113,1,1,24
KATHMANDU,Kathmandu Police Unit,6828/2021,2022,9,Kidnapping,26.766961,84.572171,5,2,16
BHAKTAPUR,Bhaktapur Police Unit,2284/2020,2021,3,Human Trafficking,28.115732,85.504469,2,5,7
SUNSARI,Sunsari Police Unit,7920/2024,2019,4,Assault,27.052215,84.0737,1,4,14
KATHMANDU,Kathmandu Police Unit,2456/2020,2018,3,Domestic Violence,30.316682,81.677691,3,2,11
LALITPUR,Lalitpur Police Unit,5346/2020,2021,12,Kidnapping,28.699752,81.898423,5,3,11
BHAKTAPUR,Bhaktapur Police Unit,1037/2022,2015,1,Domestic Violence,27.017285,84.360332,5,5,8
SUNSARI,Sunsari Police Unit,7330/2024,2019,6,Drug Trafficking,30.348655,87.661284,0,4,12
MORANG,Morang Police Unit,9342/2017,2023,1,Homicide,30.349168,82.941549,5,4,19
KATHMANDU,Kathmandu Police Unit,1081/2023,2022,1,Homicide,28.131222,87.854385,2,5,23
RUPANDEHI,Rupandehi Police Unit,8608/2018,2024,6,Assault,27.607858,85.115547,4,1,26
KATHMANDU,Kathmandu Police Unit,9042/2019,2015,1,Assault,28.616708,80.899068,2,3,5
DHANUSHA,Dhanusha Police Unit,7199/2021,2017,7,Homicide,26.500781,83.982693,0,1,3
SUNSARI,Sunsari Police Unit,6604/2015,2023,8,Smuggling,29.670917,83.390716,2,0,10
SUNSARI,Sunsari Police Unit,2526/2020,2019,2,Kidnapping,26.386712,86.260786,0,0,5
SUNSARI,Sunsari Police Unit,7222/2021,2019,1,Theft,29.960145,87.796299,0,3,15
BANKE,Banke Police Unit,3401/2023,2020,9,Assault,28.744225,80.291677,0,3,18
DHANUSHA,Dhanusha Police Unit,3963/2015,2024,4,Assault,29.873832,83.709159,0,2,22
RUPANDEHI,Rupandehi Police Unit,4497/2023,2015,12,Kidnapping,26.383537,82.614677,0,0,14
RUPANDEHI,Rupandehi Police Unit,3807/2023,2019,11,Theft,27.318823,87.273255,4,5,28
SUNSARI,Sunsari Police Unit,9179/2020,2017,6,Kidnapping,26.396859,85.648641,1,5,16
MORANG,Morang Police Unit,4282/2015,2015,1,Domestic Violence,27.90857,87.737614,1,5,5
CHITWAN,Chitwan Police Unit,6174/2021,2021,8,Kidnapping,27.482176,84.975329,4,3,10
KASKI,Kaski Police Unit,5132/2017,2023,1,Drug Trafficking,29.923315,87.513233,2,4,24
KATHMANDU,Kathmandu Police Unit,5647/2024,2020,6,Cyber Crime,27.61665,83.903369,3,5,11
KASKI,Kaski Police Unit,4209/2018,2015,4,Homicide,29.899104,82.852288,1,3,12
KATHMANDU,Kathmandu Police Unit,6558/2019,2024,2,Domestic Violence,27.936695,80.086577,4,4,6
RUPANDEHI,Rupandehi Police Unit,3072/2017,2016,10,Drug Trafficking,29.247317,83.869732,4,3,27
SUNSARI,Sunsari Police Unit,7885/2021,2020,8,Cyber Crime,28.108219,87.512059,0,1,21
BANKE,Banke Police Unit,7412/2024,2015,9,Theft,26.782911,82.528056,2,2,5
KASKI,Kaski Police Unit,8611/2019,2020,12,Human Trafficking,28.461675,82.409953,3,0,16
LALITPUR,Lalitpur Police Unit,7072/2015,2023,11,Drug Trafficking,28.682486,84.227426,4,1,2
BANKE,Banke Police Unit,1258/2019,2016,6,Human Trafficking,28.416162,84.389946,4,1,27
SUNSARI,Sunsari Police Unit,3507/2021,2021,1,Homicide,29.247889,83.950529,0,2,20
RUPANDEHI,Rupandehi Police Unit,7620/2017,2023,9,Smuggling,29.726926,81.939389,0,4,6
CHITWAN,Chitwan Police Unit,3498/2019,2020,1,Human Trafficking,28.902061,86.837999,5,2,13
CHITWAN,Chitwan Police Unit,1609/2021,2017,4,Human Trafficking,27.794719,81.900554,4,1,15
KATHMANDU,Kathmandu Police Unit,5073/2015,2022,4,Theft,29.946988,80.422818,3,1,20
RUPANDEHI,Rupandehi Police Unit,1568/2015,2019,1,Cyber Crime,27.471427,85.531114,3,1,1
BANKE,Banke Police Unit,672/2015,2018,9,Smuggling,29.817032,85.663462,2,2,21
CHITWAN,Chitwan Police Unit,637/2019,2019,6,Cyber Crime,29.217042,81.466766,5,0,25
KATHMANDU,Kathmandu Police Unit,9512/2018,2015,11,Cyber Crime,29.088755,83.684656,0,2,7
KASKI,Kaski Police Unit,415/2016,2022,3,Theft,27.291641,81.662934,2,5,6
LALITPUR,Lalitpur Police Unit,2919/2024,2021,12,Smuggling,29.869002,81.035862,2,4,23
CHITWAN,Chitwan Police Unit,5426/2019,2023,10,Cyber Crime,28.738915,80.746982,4,4,27
SUNSARI,Sunsari Police Unit,6485/2023,2018,5,Smuggling,27.309411,83.784399,0,0,17
SUNSARI,Sunsari Police Unit,7276/2023,2019,7,Homicide,28.678966,81.083662,5,2,1
BANKE,Banke Police Unit,8653/2020,2015,10,Fraud,28.586891,84.23574,5,0,28
RUPANDEHI,Rupandehi Police Unit,9261/2019,2018,11,Domestic Violence,28.65581,87.004668,5,0,16
KATHMANDU,Kathmandu Police Unit,6002/2016,2019,11,Theft,28.434606,86.27112,5,3,17
KATHMANDU,Kathmandu Police Unit,4799/2015,2016,8,Domestic Violence,30.278529,83.653917,0,0,22
RUPANDEHI,Rupandehi Police Unit,7653/2022,2016,4,Assault,27.007992,85.268232,4,3,26
LALITPUR,Lalitpur Police Unit,2165/2018,2015,8,Kidnapping,27.322014,82.889124,0,4,13
RUPANDEHI,Rupandehi Police Unit,4524/2017,2021,11,Smuggling,28.175053,81.358151,2,4,5
SUNSARI,Sunsari Police Unit,4195/2017,2024,8,Smuggling,29.913644,81.969762,2,1,28
LALITPUR,Lalitpur Police Unit,6976/2020,2015,12,Drug Trafficking,26.627279,88.111661,3,1,6
BANKE,Banke Police Unit,1017/2019,2022,12,Drug Trafficking,30.321834,87.544484,1,2,22
SUNSARI,Sunsari Police Unit,3214/2018,2023,2,Domestic Violence,29.01932,86.695616,5,4,25
KATHMANDU,Kathmandu Police Unit,5916/2020,2021,2,Theft,29.437631,86.361977,2,4,14
KASKI,Kaski Police Unit,3184/2016,2023,5,Kidnapping,30.4278,80.801985,1,3,26
RUPANDEHI,Rupandehi Police Unit,4183/2017,2023,6,Theft,29.041724,85.256399,3,2,25
KATHMANDU,Kathmandu Police Unit,7213/2023,2024,10,Human Trafficking,28.476441,80.852583,2,1,6
MORANG,Morang Police Unit,5322/2021,2021,11,Domestic Violence,27.173129,80.396124,3,4,17
BHAKTAPUR,Bhaktapur Police Unit,5371/2020,2015,5,Assault,28.563063,83.673661,2,3,21
BANKE,Banke Police Unit,2672/2023,2023,11,Human Trafficking,28.12448,87.884125,5,3,20
LALITPUR,Lalitpur Police Unit,1690/2023,2015,12,Smuggling,28.569166,87.747374,3,5,22
DHANUSHA,Dhanusha Police Unit,1736/2019,2023,10,Human Trafficking,29.309141,80.561939,4,4,24
CHITWAN,Chitwan Police Unit,6408/2019,2015,11,Homicide,28.394957,80.510903,5,3,3
LALITPUR,Lalitpur Police Unit,1818/2024,2018,7,Kidnapping,27.107332,82.451776,0,4,21
SUNSARI,Sunsari Police Unit,9353/2015,2022,3,Domestic Violence,26.555593,87.374346,0,5,10
KASKI,Kaski Police Unit,1681/2016,2019,11,Human Trafficking,27.417404,82.572045,1,3,7
MORANG,Morang Police Unit,1341/2018,2022,1,Smuggling,29.829388,83.025504,2,4,12
MORANG,Morang Police Unit,4446/2019,2016,6,Fraud,27.426429,88.180092,5,1,19
KATHMANDU,Kathmandu Police Unit,3891/2017,2022,6,Fraud,27.718301,80.930636,5,0,4
DHANUSHA,Dhanusha Police Unit,7108/2017,2017,6,Human Trafficking,29.060273,83.186772,1,5,1
BANKE,Banke Police Unit,9355/2022,2023,5,Human Trafficking,28.227031,87.498897,1,5,22
KASKI,Kaski Police Unit,1406/2021,2021,4,Homicide,28.017716,83.184059,0,5,3
RUPANDEHI,Rupandehi Police Unit,9807/2015,2020,3,Fraud,30.137458,86.173709,5,2,28
LALITPUR,Lalitpur Police Unit,6277/2024,2024,5,Assault,29.556964,83.652305,4,4,19
BHAKTAPUR,Bhaktapur Police Unit,179/2016,2016,6,Drug Trafficking,27.198657,80.999726,3,1,6
LALITPUR,Lalitpur Police Unit,8616/2024,2018,1,Cyber Crime,30.080397,85.879793,4,2,19
RUPANDEHI,Rupandehi Police Unit,9012/2019,2022,7,Human Trafficking,27.886144,84.122497,3,2,23
KASKI,Kaski Police Unit,747/2019,2023,11,Homicide,28.793857,85.902322,3,0,26
LALITPUR,Lalitpur Police Unit,48/2019,2024,6,Domestic Violence,28.916361,87.207995,1,4,28
BANKE,Banke Police Unit,5886/2022,2016,11,Kidnapping,29.717199,85.679078,4,5,28
KATHMANDU,Kathmandu Police Unit,5414/2016,2016,3,Drug Trafficking,26.56797,83.888571,2,4,20
DHANUSHA,Dhanusha Police Unit,4719/2018,2017,8,Theft,29.508134,82.348312,1,0,1
KATHMANDU,Kathmandu Police Unit,1247/2015,2020,9,Drug Trafficking,28.132264,86.090828,0,3,17
CHITWAN,Chitwan Police Unit,7800/2016,2019,12,Human Trafficking,28.849478,86.610338,1,2,13
BANKE,Banke Police Unit,7181/2015,2015,10,Smuggling,29.551796,86.239038,3,0,12
SUNSARI,Sunsari Police Unit,4260/2023,2017,9,Human Trafficking,28.489311,84.58538,0,4,2
LALITPUR,Lalitpur Police Unit,3257/2024,2023,12,Fraud,26.806498,84.28953,5,3,8
DHANUSHA,Dhanusha Police Unit,246/2022,2022,3,Smuggling,29.512525,82.192969,2,4,24
